Gene_ID,Gene_name
1009_at,HINT1
1020_s_at,CIB1
1062_g_at,IL10RA
1073_at,TCEA1
1085_s_at,PLCG2
1106_s_at,TRAC
1268_at,UBA1
1312_at,PSMD8
1347_at,CDC25B
1373_at,TCF3
1447_at,PSMB1
1461_at,NFKBIA
1499_at,FNTA
1506_at,IL2RG
172_at,INPP5D
1839_at,RAN
1840_g_at,RAN
1909_at,BCL2
198_g_at,NME3
2035_s_at,ENO1
2050_s_at,RAC1
2059_s_at,LCK
227_g_at,PRKAR1A
31596_f_at,GUSBP11
31936_s_at,KIAA0430
32035_at,LOC100510519
32080_at,MFSD10
32116_at,TMC6
32157_at,PPP1CA
32181_at,FLOT2
32378_at,PKM
32408_s_at,LOC649330
324_f_at,BTF3
32530_at,YWHAQ
32597_at,RBL2
32629_f_at,BTN3A1
32737_at,RAC2
32794_g_at,TRBC1
32832_at,MAEA
32923_r_at,SYN1
32977_at,FAM65B
329_s_at,NUMA1
33102_at,ADD3
33146_at,MCL1
33154_at,PSMB4
33238_at,LCK
33243_at,TNFAIP8
33304_at,ISG20
33341_at,GNB1
33396_at,GSTP1
33397_at,CDIPT
33425_at,TRIM28
33447_at,MYL12A
33705_at,PDE4B
33748_at,HMHA1
33813_at,TNFRSF1B
33877_s_at,MTDH
33989_f_at,TMBIM6
34215_at,AKAP17A
34302_at,EIF3G
34336_at,KARS
34381_at,COX7C
34400_at,UQCRQ
34947_at,APOBEC3G
34987_s_at,HNRNPA1
35261_at,GMFG
35270_at,SNRPD2
35292_at,DDX39B
35298_at,EIF3D
35307_at,GDI2
35327_at,EIF3H
35337_at,FBXO7
35450_s_at,LOC100093631
35659_at,IL10RA
35685_at,RING1
35693_at,HPCAL1
35759_at,CCT2
35767_at,GABARAPL2
35830_at,XPO6
35835_at,ANAPC5
35883_at,SPIB
35926_s_at,LYZ
36114_r_at,TNNT1
36138_at,CAPNS1
36147_at,SSR2
36155_at,SPOCK2
36181_at,LASP1
36188_at,GTF3A
36224_g_at,SFPQ
36482_s_at,ATP2A3
36654_s_at,HNRNPA2B1
36862_at,PPP6R1
36894_at,CBX7
36928_at,ZNF146
36952_at,HADHA
36994_at,ATP6V0C
37579_at,CYFIP2
37720_at,HSPD1
37725_at,PPP1CC
37734_at,MOB1A
37940_f_at,APOBEC3C
37984_s_at,ARF6
38006_at,CD48
38021_at,PLEC
38075_at,SYPL1
38149_at,ARHGAP25
38269_at,PRKD2
38287_at,PSMB9
38342_at,JADE2
38359_at,RASGRP2
38397_at,POLD4
38400_at,LSM14A
38413_at,DAD1
38437_at,CASC3
38438_at,NFKB1
38451_at,UQCR11
38485_at,NDUFC1
38578_at,CD27
38605_at,NDUFB1
38628_at,KAT2A
38663_at,BANF1
38666_at,CYTH1
38679_g_at,SNRPE
38681_at,EIF3E
38717_at,METTL7A
38758_at,PDAP1
38791_at,DDOST
38799_at,AP1G2
38893_at,NCF4
38964_r_at,WAS
38971_r_at,TNIP1
38974_at,PARK7
39010_at,ENSA
39030_at,RABAC1
39044_s_at,DGKD
39072_at,MXI1
39110_at,EIF4B
39122_at,GPI
39168_at,ZBED1
39180_at,FUS
39336_at,ARF3
39360_at,SNX3
39378_at,BECN1
39427_at,UQCRB
39700_at,ARHGAP1
39728_at,IFI30
39741_at,HADHB
39795_at,AP2M1
39800_s_at,HAX1
40019_at,EVI2B
40125_at,CANX
40134_at,ATP5J2
40189_at,SET
402_s_at,ICAM3
40520_g_at,PTPRC
40593_at,PTBP1
40721_g_at,TRAF3IP3
40846_g_at,ILF3
40864_at,RAC1
40872_at,COX6B1
40960_at,B4GALT1
409_at,YWHAQ
41096_at,S100A8
41106_at,KCNN4
41138_at,CD99
41140_at,IFNGR2
41146_at,PARP1
41187_at,MYL12B
411_i_at,IFITM2
41224_at,SNRNP200
41235_at,ATF4
41268_g_at,TCF25
41288_at,CALM1
41356_at,BCL11A
41375_at,LSM2
41458_at,SZT2
41471_at,S100A9
41725_at,CSNK1G2
41745_at,IFITM3
41796_at,PLCL2
41812_s_at,NUP210
41834_g_at,JTB
459_s_at,BIN1
619_s_at,MS4A1
723_s_at,HNRNPC
777_at,GDI2
829_s_at,GSTP1
838_s_at,UBE2I
925_at,IFI30
935_at,CAP1
AFFX-BioC-3_at,--Control
AFFX-BioC-5_at,--Control
